datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-04-23 09:15:59,NIFTY,29APR21,14500,CE,2021-04-23,09:15:59,129.95,129.95,100.6,110.7,0,0,14353.55
2021-04-23 09:16:59,NIFTY,29APR21,14500,CE,2021-04-23,09:16:59,110.2,112.35,98.2,98.5,0,0,14340.0
2021-04-23 09:17:59,NIFTY,29APR21,14500,CE,2021-04-23,09:17:59,100.05,106.15,95.55,106.15,0,0,14358.95
2021-04-23 09:18:59,NIFTY,29APR21,14500,CE,2021-04-23,09:18:59,106.8,112.4,106.55,111.75,0,0,14371.9
2021-04-23 09:19:59,NIFTY,29APR21,14500,CE,2021-04-23,09:19:59,111.25,114.7,109.55,114.6,0,0,14384.35
2021-04-23 09:20:59,NIFTY,29APR21,14500,CE,2021-04-23,09:20:59,115.2,118.95,114.9,116.8,0,0,14391.4
2021-04-23 09:21:59,NIFTY,29APR21,14500,CE,2021-04-23,09:21:59,117.0,117.7,114.55,116.0,0,0,14390.3
2021-04-23 09:22:59,NIFTY,29APR21,14500,CE,2021-04-23,09:22:59,116.4,120.35,115.7,118.8,0,0,14397.95
2021-04-23 09:23:59,NIFTY,29APR21,14500,CE,2021-04-23,09:23:59,118.4,119.15,111.2,113.15,0,0,14379.3
2021-04-23 09:24:59,NIFTY,29APR21,14500,CE,2021-04-23,09:24:59,113.1,113.75,109.5,109.5,0,0,14371.0
2021-04-23 09:25:59,NIFTY,29APR21,14500,CE,2021-04-23,09:25:59,109.5,109.65,106.5,107.2,0,0,14363.35
2021-04-23 09:26:59,NIFTY,29APR21,14500,CE,2021-04-23,09:26:59,107.2,108.15,104.0,104.5,0,0,14357.2
2021-04-23 09:27:59,NIFTY,29APR21,14500,CE,2021-04-23,09:27:59,104.1,108.15,102.85,107.85,0,0,14366.25
2021-04-23 09:28:59,NIFTY,29APR21,14500,CE,2021-04-23,09:28:59,106.5,106.5,101.15,103.9,0,0,14357.95
2021-04-23 09:29:59,NIFTY,29APR21,14500,CE,2021-04-23,09:29:59,103.35,104.8,97.75,98.45,0,0,14343.45
2021-04-23 09:30:59,NIFTY,29APR21,14500,CE,2021-04-23,09:30:59,97.65,100.0,94.75,96.2,0,0,14337.5
2021-04-23 09:31:59,NIFTY,29APR21,14500,CE,2021-04-23,09:31:59,95.65,96.0,93.35,94.55,0,0,14329.85
