datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-04-23 09:15:59,NIFTY,29APR21,14550,PE,2021-04-23,09:15:59,330.0,330.0,273.6,288.45,0,0,14353.55
2021-04-23 09:16:59,NIFTY,29APR21,14550,PE,2021-04-23,09:16:59,287.95,294.5,281.1,292.35,0,0,14340.0
2021-04-23 09:17:59,NIFTY,29APR21,14550,PE,2021-04-23,09:17:59,294.15,299.1,284.45,284.45,0,0,14358.95
2021-04-23 09:18:59,NIFTY,29APR21,14550,PE,2021-04-23,09:18:59,280.25,280.5,274.45,274.45,0,0,14371.9
2021-04-23 09:19:59,NIFTY,29APR21,14550,PE,2021-04-23,09:19:59,276.55,276.55,270.0,270.0,0,0,14384.35
2021-04-23 09:20:59,NIFTY,29APR21,14550,PE,2021-04-23,09:20:59,261.35,263.65,258.7,259.15,0,0,14391.4
2021-04-23 09:21:59,NIFTY,29APR21,14550,PE,2021-04-23,09:21:59,257.7,264.2,256.25,262.1,0,0,14390.3
2021-04-23 09:22:59,NIFTY,29APR21,14550,PE,2021-04-23,09:22:59,262.25,262.25,253.35,258.7,0,0,14397.95
2021-04-23 09:23:59,NIFTY,29APR21,14550,PE,2021-04-23,09:23:59,259.95,271.8,259.1,271.05,0,0,14379.3
2021-04-23 09:24:59,NIFTY,29APR21,14550,PE,2021-04-23,09:24:59,272.15,272.15,270.2,272.0,0,0,14371.0
2021-04-23 09:25:59,NIFTY,29APR21,14550,PE,2021-04-23,09:25:59,278.3,281.75,276.25,279.0,0,0,14363.35
2021-04-23 09:26:59,NIFTY,29APR21,14550,PE,2021-04-23,09:26:59,281.55,285.55,279.55,284.95,0,0,14357.2
2021-04-23 09:27:59,NIFTY,29APR21,14550,PE,2021-04-23,09:27:59,286.45,286.45,279.55,279.55,0,0,14366.25
2021-04-23 09:28:59,NIFTY,29APR21,14550,PE,2021-04-23,09:28:59,279.8,289.2,279.8,284.35,0,0,14357.95
2021-04-23 09:29:59,NIFTY,29APR21,14550,PE,2021-04-23,09:29:59,285.6,292.5,283.7,292.5,0,0,14343.45
2021-04-23 09:30:59,NIFTY,29APR21,14550,PE,2021-04-23,09:30:59,292.9,300.5,289.0,297.75,0,0,14337.5
2021-04-23 09:31:59,NIFTY,29APR21,14550,PE,2021-04-23,09:31:59,303.1,303.1,294.85,299.9,0,0,14329.85
2021-04-23 09:32:59,NIFTY,29APR21,14550,PE,2021-04-23,09:32:59,303.4,303.4,290.65,290.65,0,0,14344.4
2021-04-23 09:33:59,NIFTY,29APR21,14550,PE,2021-04-23,09:33:59,289.0,292.05,287.4,292.05,0,0,14344.95
2021-04-23 09:34:59,NIFTY,29APR21,14550,PE,2021-04-23,09:34:59,291.55,303.8,291.55,299.0,0,0,14335.15
2021-04-23 09:35:59,NIFTY,29APR21,14550,PE,2021-04-23,09:35:59,301.5,301.5,288.05,295.4,0,0,14340.25
2021-04-23 09:36:59,NIFTY,29APR21,14550,PE,2021-04-23,09:36:59,295.75,295.75,291.25,294.5,0,0,14345.05
2021-04-23 09:37:59,NIFTY,29APR21,14550,PE,2021-04-23,09:37:59,290.85,298.45,290.85,298.45,0,0,14337.8
2021-04-23 09:38:59,NIFTY,29APR21,14550,PE,2021-04-23,09:38:59,294.0,296.1,289.9,290.95,0,0,14348.4
2021-04-23 09:39:59,NIFTY,29APR21,14550,PE,2021-04-23,09:39:59,293.7,300.9,293.7,300.9,0,0,14336.05
2021-04-23 09:40:59,NIFTY,29APR21,14550,PE,2021-04-23,09:40:59,301.35,301.35,292.8,292.8,0,0,14338.7
2021-04-23 09:41:59,NIFTY,29APR21,14550,PE,2021-04-23,09:41:59,293.85,295.95,293.85,294.0,0,0,14343.5
2021-04-23 09:42:59,NIFTY,29APR21,14550,PE,2021-04-23,09:42:59,291.8,298.65,291.8,298.5,0,0,14336.45
2021-04-23 09:43:59,NIFTY,29APR21,14550,PE,2021-04-23,09:43:59,295.65,295.65,294.45,294.45,0,0,14344.35
2021-04-23 09:44:59,NIFTY,29APR21,14550,PE,2021-04-23,09:44:59,288.05,290.65,287.15,287.65,0,0,14350.95
2021-04-23 09:45:59,NIFTY,29APR21,14550,PE,2021-04-23,09:45:59,288.8,292.05,278.05,283.15,0,0,14356.5
2021-04-23 09:46:59,NIFTY,29APR21,14550,PE,2021-04-23,09:46:59,285.5,285.5,282.7,283.0,0,0,14353.45
2021-04-23 09:47:59,NIFTY,29APR21,14550,PE,2021-04-23,09:47:59,279.35,280.05,277.3,280.05,0,0,14356.0
2021-04-23 09:48:59,NIFTY,29APR21,14550,PE,2021-04-23,09:48:59,279.1,280.75,279.1,280.75,0,0,14358.15
2021-04-23 09:49:59,NIFTY,29APR21,14550,PE,2021-04-23,09:49:59,276.55,282.4,276.55,279.4,0,0,14352.8
2021-04-23 09:50:59,NIFTY,29APR21,14550,PE,2021-04-23,09:50:59,284.85,285.9,283.5,285.9,0,0,14338.05
2021-04-23 09:51:59,NIFTY,29APR21,14550,PE,2021-04-23,09:51:59,289.7,293.35,289.0,289.1,0,0,14338.8
