Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,17NOV22,17400,CE,2022-11-09,09:27:59,868.05,868.05,868.05,868.05,50,2500
NIFTY,17NOV22,17400,CE,2022-11-09,09:28:59,868.05,868.05,868.05,868.05,50,2500
NIFTY,17NOV22,17400,CE,2022-11-09,09:37:59,854.85,854.85,854.85,854.85,50,2500
NIFTY,17NOV22,17400,CE,2022-11-09,09:50:59,861.5,861.5,861.5,861.5,50,2550
NIFTY,17NOV22,17400,CE,2022-11-09,09:52:59,888.9,888.9,888.9,888.9,50,2600
NIFTY,17NOV22,17400,CE,2022-11-09,09:56:59,870.0,870.0,870.0,870.0,50,2550
NIFTY,17NOV22,17400,CE,2022-11-09,10:58:59,828.05,828.05,828.0,828.0,100,2550
NIFTY,17NOV22,17400,CE,2022-11-09,10:59:59,825.0,825.0,825.0,825.0,750,2600
NIFTY,17NOV22,17400,CE,2022-11-09,11:02:59,832.0,832.25,832.0,832.25,850,3350
NIFTY,17NOV22,17400,CE,2022-11-09,11:05:59,830.0,830.0,830.0,830.0,750,3350
NIFTY,17NOV22,17400,CE,2022-11-09,11:16:59,829.3,829.3,829.3,829.3,100,4950
NIFTY,17NOV22,17400,CE,2022-11-09,11:20:59,831.2,831.2,831.2,831.2,100,5050
NIFTY,17NOV22,17400,CE,2022-11-09,12:24:59,819.45,819.45,819.45,819.45,100,5150
NIFTY,17NOV22,17400,CE,2022-11-09,12:25:59,818.85,818.85,818.85,818.85,100,5150
NIFTY,17NOV22,17400,CE,2022-11-09,12:58:59,826.7,826.7,826.7,826.7,50,5350
NIFTY,17NOV22,17400,CE,2022-11-09,13:55:59,844.5,847.0,844.5,847.0,100,5400
NIFTY,17NOV22,17400,CE,2022-11-09,13:56:59,846.6,846.6,846.6,846.6,100,5400
NIFTY,17NOV22,17400,CE,2022-11-09,13:58:59,845.0,845.0,845.0,845.0,100,5600
NIFTY,17NOV22,17400,CE,2022-11-09,13:59:59,854.0,855.0,854.0,855.0,100,5600
NIFTY,17NOV22,17400,CE,2022-11-09,14:06:59,855.0,855.0,855.0,855.0,50,5800
NIFTY,17NOV22,17400,CE,2022-11-09,14:09:59,854.95,854.95,854.95,854.95,500,5800
NIFTY,17NOV22,17400,CE,2022-11-09,14:15:59,862.0,862.0,862.0,862.0,100,6400
NIFTY,17NOV22,17400,CE,2022-11-09,14:16:59,860.25,860.25,860.25,860.25,50,0
NIFTY,17NOV22,17400,CE,2022-11-09,14:25:59,840.0,840.0,840.0,840.0,150,6450
NIFTY,17NOV22,17400,CE,2022-11-09,14:28:59,838.0,838.0,838.0,838.0,50,6600
NIFTY,17NOV22,17400,CE,2022-11-09,14:29:59,844.0,844.0,844.0,844.0,100,6600
NIFTY,17NOV22,17400,CE,2022-11-09,14:30:59,842.2,842.2,840.4,840.4,150,6600
NIFTY,17NOV22,17400,CE,2022-11-09,14:32:59,837.0,837.0,837.0,837.0,50,6900
NIFTY,17NOV22,17400,CE,2022-11-09,14:34:59,842.0,842.0,842.0,842.0,50,6950
NIFTY,17NOV22,17400,CE,2022-11-09,14:39:59,820.0,820.0,820.0,820.0,250,7000
NIFTY,17NOV22,17400,CE,2022-11-09,14:40:59,807.0,807.0,807.0,807.0,50,7000
NIFTY,17NOV22,17400,CE,2022-11-09,14:45:59,783.15,783.15,783.15,783.15,50,7250
NIFTY,17NOV22,17400,CE,2022-11-09,14:50:59,775.0,775.0,775.0,775.0,50,7300
NIFTY,17NOV22,17400,CE,2022-11-09,14:52:59,775.0,775.0,775.0,775.0,150,7350
NIFTY,17NOV22,17400,CE,2022-11-09,14:55:59,768.0,775.0,768.0,775.0,100,7500
NIFTY,17NOV22,17400,CE,2022-11-09,14:57:59,782.0,782.0,782.0,782.0,50,7500
NIFTY,17NOV22,17400,CE,2022-11-09,14:58:59,783.0,783.0,783.0,783.0,50,7600
