Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,17NOV22,17650,PE,2022-11-09,09:15:59,20.6,20.6,14.55,15.9,3250,180450
NIFTY,17NOV22,17650,PE,2022-11-09,09:16:59,16.2,16.25,15.1,15.4,3800,180450
NIFTY,17NOV22,17650,PE,2022-11-09,09:17:59,15.6,15.65,15.0,15.1,8050,176450
NIFTY,17NOV22,17650,PE,2022-11-09,09:18:59,14.85,15.1,14.2,14.3,6650,176450
NIFTY,17NOV22,17650,PE,2022-11-09,09:19:59,14.35,14.5,14.15,14.2,5750,176450
NIFTY,17NOV22,17650,PE,2022-11-09,09:20:59,14.0,14.3,13.45,14.05,1500,179000
NIFTY,17NOV22,17650,PE,2022-11-09,09:21:59,14.0,14.5,14.0,14.4,3950,179000
NIFTY,17NOV22,17650,PE,2022-11-09,09:22:59,14.4,14.9,14.4,14.9,8200,179000
NIFTY,17NOV22,17650,PE,2022-11-09,09:23:59,15.05,15.25,14.8,15.05,3150,173050
NIFTY,17NOV22,17650,PE,2022-11-09,09:24:59,15.05,15.55,15.05,15.5,3100,173050
NIFTY,17NOV22,17650,PE,2022-11-09,09:25:59,15.4,15.75,15.05,15.6,9600,173050
NIFTY,17NOV22,17650,PE,2022-11-09,09:26:59,15.75,15.9,15.65,15.65,4050,174150
NIFTY,17NOV22,17650,PE,2022-11-09,09:27:59,15.65,15.9,15.3,15.9,950,174150
NIFTY,17NOV22,17650,PE,2022-11-09,09:28:59,15.55,15.85,15.5,15.5,1150,174150
NIFTY,17NOV22,17650,PE,2022-11-09,09:29:59,15.45,15.55,15.25,15.55,2550,176300
NIFTY,17NOV22,17650,PE,2022-11-09,09:30:59,15.25,15.55,14.7,14.75,3650,176300
NIFTY,17NOV22,17650,PE,2022-11-09,09:31:59,14.85,14.85,14.0,14.0,5350,176300
NIFTY,17NOV22,17650,PE,2022-11-09,09:32:59,13.95,14.7,13.95,14.65,3900,181800
NIFTY,17NOV22,17650,PE,2022-11-09,09:33:59,14.7,14.7,14.4,14.5,550,181800
NIFTY,17NOV22,17650,PE,2022-11-09,09:34:59,14.8,15.75,14.8,15.6,1750,181800
NIFTY,17NOV22,17650,PE,2022-11-09,09:35:59,15.5,15.65,15.5,15.65,100,180900
NIFTY,17NOV22,17650,PE,2022-11-09,09:36:59,15.25,15.25,14.7,14.8,2300,180900
NIFTY,17NOV22,17650,PE,2022-11-09,09:37:59,14.5,14.95,14.5,14.75,650,180900
NIFTY,17NOV22,17650,PE,2022-11-09,09:38:59,14.85,15.5,14.85,15.45,2150,181950
NIFTY,17NOV22,17650,PE,2022-11-09,09:39:59,15.5,15.8,15.5,15.8,350,181950
NIFTY,17NOV22,17650,PE,2022-11-09,09:40:59,15.75,15.8,15.35,15.5,5800,181950
NIFTY,17NOV22,17650,PE,2022-11-09,09:41:59,15.5,15.55,14.9,14.95,8100,187400
NIFTY,17NOV22,17650,PE,2022-11-09,09:42:59,15.0,15.0,14.75,14.85,5850,187400
NIFTY,17NOV22,17650,PE,2022-11-09,09:43:59,14.95,15.15,14.8,15.05,4800,187400
NIFTY,17NOV22,17650,PE,2022-11-09,09:44:59,15.05,15.05,14.6,14.6,1800,195150
NIFTY,17NOV22,17650,PE,2022-11-09,09:45:59,14.65,14.65,13.65,13.75,3650,195150
NIFTY,17NOV22,17650,PE,2022-11-09,09:46:59,13.7,14.1,13.65,14.0,2050,195150
NIFTY,17NOV22,17650,PE,2022-11-09,09:47:59,14.05,14.5,14.05,14.5,2500,195550
NIFTY,17NOV22,17650,PE,2022-11-09,09:48:59,14.45,14.45,13.95,14.05,850,195550
NIFTY,17NOV22,17650,PE,2022-11-09,09:49:59,14.0,14.1,13.85,14.05,1400,195550
NIFTY,17NOV22,17650,PE,2022-11-09,09:50:59,14.0,14.35,14.0,14.3,3150,195400
NIFTY,17NOV22,17650,PE,2022-11-09,09:51:59,14.3,14.8,14.3,14.8,2400,195400
NIFTY,17NOV22,17650,PE,2022-11-09,09:52:59,14.7,14.8,14.6,14.6,1950,195400
NIFTY,17NOV22,17650,PE,2022-11-09,09:53:59,14.6,14.9,14.6,14.75,3250,195750
NIFTY,17NOV22,17650,PE,2022-11-09,09:54:59,14.75,15.1,14.75,15.1,2300,195750
NIFTY,17NOV22,17650,PE,2022-11-09,09:55:59,15.3,15.3,15.0,15.0,3750,195750
NIFTY,17NOV22,17650,PE,2022-11-09,09:56:59,14.95,15.85,14.95,15.6,2600,194000
NIFTY,17NOV22,17650,PE,2022-11-09,09:57:59,15.6,15.75,15.55,15.7,2600,194000
NIFTY,17NOV22,17650,PE,2022-11-09,09:58:59,15.7,15.95,15.55,15.95,1250,194000
NIFTY,17NOV22,17650,PE,2022-11-09,09:59:59,15.75,16.55,15.75,16.2,3600,193050
NIFTY,17NOV22,17650,PE,2022-11-09,10:00:59,16.1,16.65,15.7,16.65,350,193050
NIFTY,17NOV22,17650,PE,2022-11-09,10:01:59,16.6,16.6,16.2,16.2,1200,193050
NIFTY,17NOV22,17650,PE,2022-11-09,10:02:59,16.2,16.2,15.75,15.9,750,193900
NIFTY,17NOV22,17650,PE,2022-11-09,10:03:59,15.85,16.0,15.7,15.85,1450,193900
NIFTY,17NOV22,17650,PE,2022-11-09,10:04:59,15.75,15.75,15.35,15.65,1900,193900
NIFTY,17NOV22,17650,PE,2022-11-09,10:05:59,15.6,16.2,15.6,15.95,900,193950
NIFTY,17NOV22,17650,PE,2022-11-09,10:06:59,15.5,15.5,15.0,15.05,350,193950
NIFTY,17NOV22,17650,PE,2022-11-09,10:07:59,14.95,15.25,14.95,15.05,2400,193950
NIFTY,17NOV22,17650,PE,2022-11-09,10:08:59,15.35,15.85,15.3,15.85,800,194050
NIFTY,17NOV22,17650,PE,2022-11-09,10:09:59,16.0,16.6,16.0,16.6,6400,194050
NIFTY,17NOV22,17650,PE,2022-11-09,10:10:59,16.5,16.8,16.5,16.8,2400,194050
NIFTY,17NOV22,17650,PE,2022-11-09,10:11:59,17.0,17.0,16.0,16.0,1650,197850
NIFTY,17NOV22,17650,PE,2022-11-09,10:12:59,16.0,16.15,15.7,15.7,1700,197850
NIFTY,17NOV22,17650,PE,2022-11-09,10:13:59,16.0,16.1,16.0,16.1,250,197850
NIFTY,17NOV22,17650,PE,2022-11-09,10:14:59,15.9,15.95,15.75,15.95,450,197750
NIFTY,17NOV22,17650,PE,2022-11-09,10:15:59,15.45,15.45,15.45,15.45,650,197750
NIFTY,17NOV22,17650,PE,2022-11-09,10:16:59,15.8,15.8,15.8,15.8,50,197750
