Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,17NOV22,16250,PE,2022-11-02,11:05:59,5.5,5.5,5.5,5.5,50,0
NIFTY,17NOV22,16250,PE,2022-11-02,11:06:59,5.5,5.5,5.5,5.5,50,0
NIFTY,17NOV22,16250,PE,2022-11-04,10:51:59,2.95,2.95,2.95,2.95,100,100
NIFTY,17NOV22,16250,PE,2022-11-04,11:00:59,3.0,3.0,3.0,3.0,100,100
NIFTY,17NOV22,16250,PE,2022-11-04,11:22:59,2.85,3.95,2.8,2.85,450,200
NIFTY,17NOV22,16250,PE,2022-11-04,14:03:59,2.05,2.05,2.05,2.05,50,650
NIFTY,17NOV22,16250,PE,2022-11-04,14:08:59,2.8,2.9,2.8,2.9,200,650
NIFTY,17NOV22,16250,PE,2022-11-04,14:32:59,2.7,2.9,2.7,2.85,600,800
NIFTY,17NOV22,16250,PE,2022-11-04,14:33:59,2.85,2.85,2.85,2.85,150,1350
NIFTY,17NOV22,16250,PE,2022-11-04,14:36:59,2.85,2.85,2.85,2.85,50,1500
NIFTY,17NOV22,16250,PE,2022-11-04,15:06:59,3.2,3.2,3.2,3.2,150,1500
NIFTY,17NOV22,16250,PE,2022-11-07,09:33:59,2.6,2.6,2.6,2.6,100,1350
NIFTY,17NOV22,16250,PE,2022-11-07,10:13:59,2.6,2.6,2.6,2.6,100,1450
NIFTY,17NOV22,16250,PE,2022-11-07,11:47:59,2.6,2.6,2.6,2.6,50,1450
NIFTY,17NOV22,16250,PE,2022-11-07,12:13:59,2.6,2.6,2.6,2.6,100,1450
NIFTY,17NOV22,16250,PE,2022-11-07,12:16:59,2.6,2.6,2.6,2.6,50,1450
NIFTY,17NOV22,16250,PE,2022-11-07,12:18:59,2.6,2.6,2.6,2.6,100,1450
NIFTY,17NOV22,16250,PE,2022-11-07,14:21:59,2.45,2.45,2.45,2.45,100,1450
NIFTY,17NOV22,16250,PE,2022-11-07,14:44:59,2.5,2.5,2.5,2.5,100,1350
NIFTY,17NOV22,16250,PE,2022-11-07,14:49:59,2.45,2.45,2.45,2.45,100,1250
NIFTY,17NOV22,16250,PE,2022-11-09,14:23:59,1.3,2.0,1.3,1.95,200,1150
NIFTY,17NOV22,16250,PE,2022-11-09,15:15:59,2.0,2.0,2.0,2.0,200,1100
NIFTY,17NOV22,16250,PE,2022-11-09,15:16:59,1.9,1.9,1.9,1.9,150,1100
NIFTY,17NOV22,16250,PE,2022-11-10,13:33:59,1.95,1.95,1.95,1.95,50,950
NIFTY,17NOV22,16250,PE,2022-11-10,14:11:59,1.35,1.35,1.35,1.35,50,1000
NIFTY,17NOV22,16250,PE,2022-11-10,14:58:59,1.35,1.35,1.35,1.35,50,950
NIFTY,17NOV22,16250,PE,2022-11-10,15:07:59,0.95,0.95,0.95,0.95,200,950
NIFTY,17NOV22,16250,PE,2022-11-10,15:08:59,0.95,0.95,0.95,0.95,50,950
NIFTY,17NOV22,16250,PE,2022-11-10,15:24:59,1.4,1.4,1.4,1.4,500,1200
NIFTY,17NOV22,16250,PE,2022-11-10,15:25:59,1.0,1.0,0.95,0.95,350,1700
NIFTY,17NOV22,16250,PE,2022-11-11,09:24:59,1.35,1.35,1.35,1.35,200,1700
NIFTY,17NOV22,16250,PE,2022-11-11,09:38:59,1.4,1.4,1.4,1.4,450,1700
NIFTY,17NOV22,16250,PE,2022-11-11,09:42:59,1.4,1.4,1.4,1.4,250,1800
NIFTY,17NOV22,16250,PE,2022-11-11,09:43:59,1.4,1.4,1.4,1.4,250,1800
NIFTY,17NOV22,16250,PE,2022-11-11,09:45:59,1.3,1.3,1.3,1.3,50,1800
NIFTY,17NOV22,16250,PE,2022-11-11,09:51:59,1.3,1.3,1.3,1.3,250,1850
NIFTY,17NOV22,16250,PE,2022-11-11,09:57:59,1.25,1.25,1.25,1.25,50,2100
NIFTY,17NOV22,16250,PE,2022-11-11,10:00:59,1.25,1.25,1.05,1.05,550,2100
NIFTY,17NOV22,16250,PE,2022-11-11,10:03:59,1.05,1.05,1.05,1.05,50,1900
NIFTY,17NOV22,16250,PE,2022-11-11,10:26:59,0.95,0.95,0.95,0.95,50,1900
NIFTY,17NOV22,16250,PE,2022-11-11,12:39:59,0.85,0.85,0.85,0.85,1800,1850
NIFTY,17NOV22,16250,PE,2022-11-11,12:51:59,0.85,0.85,0.85,0.85,200,3650
NIFTY,17NOV22,16250,PE,2022-11-11,13:22:59,0.85,0.85,0.85,0.85,50,3550
NIFTY,17NOV22,16250,PE,2022-11-11,14:04:59,0.85,0.85,0.85,0.85,1000,3550
NIFTY,17NOV22,16250,PE,2022-11-11,14:21:59,1.0,1.0,1.0,1.0,50,4550
NIFTY,17NOV22,16250,PE,2022-11-11,15:04:59,1.0,1.0,1.0,1.0,100,4550
NIFTY,17NOV22,16250,PE,2022-11-11,15:05:59,1.0,1.0,1.0,1.0,1350,4550
NIFTY,17NOV22,16250,PE,2022-11-11,15:11:59,1.2,1.2,1.2,1.2,1500,3200
NIFTY,17NOV22,16250,PE,2022-11-11,15:17:59,1.15,1.15,1.0,1.0,1600,4300
NIFTY,17NOV22,16250,PE,2022-11-11,15:25:59,1.3,1.3,1.3,1.3,200,4150
NIFTY,17NOV22,16250,PE,2022-11-11,15:26:59,1.25,1.25,1.25,1.25,1450,4150
NIFTY,17NOV22,16250,PE,2022-11-11,15:28:59,1.25,1.25,1.25,1.25,250,2650
NIFTY,17NOV22,16250,PE,2022-11-14,09:29:59,1.1,1.1,1.1,1.1,50,2400
NIFTY,17NOV22,16250,PE,2022-11-14,10:24:59,1.0,1.0,1.0,1.0,100,2400
NIFTY,17NOV22,16250,PE,2022-11-14,10:56:59,0.75,0.75,0.75,0.75,100,2400
NIFTY,17NOV22,16250,PE,2022-11-14,11:08:59,0.7,0.7,0.7,0.7,50,2400
NIFTY,17NOV22,16250,PE,2022-11-14,11:18:59,0.8,0.8,0.8,0.8,50,2400
NIFTY,17NOV22,16250,PE,2022-11-14,11:59:59,0.8,0.8,0.8,0.8,50,2400
NIFTY,17NOV22,16250,PE,2022-11-14,14:34:59,0.7,0.7,0.7,0.7,2350,2400
NIFTY,17NOV22,16250,PE,2022-11-14,14:37:59,0.7,0.7,0.7,0.7,100,3400
NIFTY,17NOV22,16250,PE,2022-11-14,14:48:59,0.7,0.7,0.7,0.7,50,3500
NIFTY,17NOV22,16250,PE,2022-11-14,15:07:59,0.75,0.75,0.75,0.75,50,3500
NIFTY,17NOV22,16250,PE,2022-11-14,15:21:59,0.75,0.75,0.75,0.75,250,3500
NIFTY,17NOV22,16250,PE,2022-11-14,15:23:59,0.75,0.75,0.75,0.75,250,3500
NIFTY,17NOV22,16250,PE,2022-11-14,15:25:59,0.7,0.7,0.7,0.7,750,3500
NIFTY,17NOV22,16250,PE,2022-11-14,15:30:00,0.7,0.7,0.7,0.7,300,3500
NIFTY,17NOV22,16250,PE,2022-11-15,09:33:59,0.5,0.55,0.5,0.55,2750,3800
NIFTY,17NOV22,16250,PE,2022-11-15,09:40:59,0.55,0.55,0.55,0.55,100,1850
NIFTY,17NOV22,16250,PE,2022-11-15,09:50:59,0.55,0.55,0.55,0.55,100,1750
