Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,17NOV22,17650,CE,2022-10-18,09:15:59,333.5,333.5,333.5,333.5,50,0
NIFTY,17NOV22,17650,CE,2022-10-21,11:39:59,362.95,362.95,362.95,362.95,50,50
NIFTY,17NOV22,17650,CE,2022-10-21,13:15:59,315.85,315.85,315.85,315.85,50,100
NIFTY,17NOV22,17650,CE,2022-10-21,13:54:59,301.0,301.0,301.0,301.0,50,100
NIFTY,17NOV22,17650,CE,2022-10-24,19:12:59,350.0,350.0,350.0,350.0,50,100
NIFTY,17NOV22,17650,CE,2022-10-25,09:22:59,351.0,351.0,351.0,351.0,50,100
NIFTY,17NOV22,17650,CE,2022-10-25,09:59:59,365.0,365.0,365.0,365.0,50,100
NIFTY,17NOV22,17650,CE,2022-10-25,10:17:59,351.55,351.55,351.55,351.55,50,100
NIFTY,17NOV22,17650,CE,2022-10-25,12:14:59,351.6,351.6,351.6,351.6,50,150
NIFTY,17NOV22,17650,CE,2022-10-25,12:42:59,305.0,305.0,305.0,305.0,100,200
NIFTY,17NOV22,17650,CE,2022-10-25,13:10:59,304.5,304.5,304.5,304.5,50,300
NIFTY,17NOV22,17650,CE,2022-10-25,13:33:59,319.75,319.75,319.75,319.75,50,300
NIFTY,17NOV22,17650,CE,2022-10-25,15:24:59,287.75,287.75,287.75,287.75,50,350
NIFTY,17NOV22,17650,CE,2022-10-27,14:28:59,314.1,314.1,314.05,314.05,150,300
NIFTY,17NOV22,17650,CE,2022-10-27,14:55:59,309.75,309.75,309.75,309.75,50,450
NIFTY,17NOV22,17650,CE,2022-10-27,15:00:59,315.0,315.0,315.0,315.0,50,500
NIFTY,17NOV22,17650,CE,2022-10-28,09:52:59,355.25,355.25,355.25,355.25,50,450
NIFTY,17NOV22,17650,CE,2022-10-28,09:57:59,354.25,354.25,354.25,354.25,50,500
NIFTY,17NOV22,17650,CE,2022-10-28,11:07:59,350.95,350.95,350.95,350.95,100,550
NIFTY,17NOV22,17650,CE,2022-10-28,12:24:59,340.0,340.0,340.0,340.0,50,650
NIFTY,17NOV22,17650,CE,2022-10-28,13:30:59,333.3,333.3,333.3,333.3,50,700
NIFTY,17NOV22,17650,CE,2022-10-28,13:32:59,335.3,335.3,335.3,335.3,50,700
NIFTY,17NOV22,17650,CE,2022-10-28,14:11:59,352.1,352.1,324.85,352.1,350,700
NIFTY,17NOV22,17650,CE,2022-10-28,14:15:59,316.85,316.85,316.85,316.85,350,850
NIFTY,17NOV22,17650,CE,2022-10-28,14:17:59,324.15,324.15,323.5,323.5,350,850
NIFTY,17NOV22,17650,CE,2022-10-28,14:21:59,324.65,324.65,324.65,324.65,50,1200
NIFTY,17NOV22,17650,CE,2022-10-28,15:04:59,332.6,332.6,332.6,332.6,300,1250
NIFTY,17NOV22,17650,CE,2022-10-31,09:19:59,420.0,420.0,420.0,420.0,50,800
NIFTY,17NOV22,17650,CE,2022-10-31,09:42:59,449.15,449.15,449.15,449.15,50,750
NIFTY,17NOV22,17650,CE,2022-10-31,11:51:59,449.0,449.0,449.0,449.0,50,800
NIFTY,17NOV22,17650,CE,2022-10-31,11:54:59,449.0,449.0,449.0,449.0,100,750
NIFTY,17NOV22,17650,CE,2022-10-31,15:14:59,449.0,449.0,449.0,449.0,50,650
NIFTY,17NOV22,17650,CE,2022-11-01,12:41:59,579.1,579.1,579.1,579.1,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,13:16:59,539.1,539.1,539.1,539.1,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,13:27:59,552.45,552.45,552.45,552.45,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,13:33:59,572.25,572.25,572.25,572.25,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,13:36:59,581.75,581.75,581.75,581.75,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,13:48:59,578.85,578.85,578.85,578.85,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,13:51:59,585.7,585.7,585.7,585.7,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,14:01:59,568.75,568.75,568.75,568.75,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,14:11:59,567.5,567.5,567.5,567.5,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,14:16:59,577.3,577.3,577.3,577.3,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,14:25:59,576.0,576.0,576.0,576.0,50,550
NIFTY,17NOV22,17650,CE,2022-11-01,14:30:59,571.5,571.5,571.5,571.5,50,600
NIFTY,17NOV22,17650,CE,2022-11-01,14:35:59,576.15,576.15,576.15,576.15,50,650
NIFTY,17NOV22,17650,CE,2022-11-01,14:47:59,584.6,584.6,584.6,584.6,50,700
NIFTY,17NOV22,17650,CE,2022-11-01,15:10:59,604.1,604.1,604.1,604.1,50,750
NIFTY,17NOV22,17650,CE,2022-11-01,15:27:59,615.55,615.55,615.55,615.55,50,800
NIFTY,17NOV22,17650,CE,2022-11-02,09:33:59,575.75,575.75,575.75,575.75,50,850
NIFTY,17NOV22,17650,CE,2022-11-02,09:48:59,596.9,596.9,596.9,596.9,50,900
NIFTY,17NOV22,17650,CE,2022-11-02,10:01:59,578.65,578.65,578.65,578.65,50,950
NIFTY,17NOV22,17650,CE,2022-11-02,10:04:59,582.5,582.5,582.5,582.5,50,1000
NIFTY,17NOV22,17650,CE,2022-11-02,10:05:59,581.35,581.35,581.35,581.35,50,1000
NIFTY,17NOV22,17650,CE,2022-11-02,10:09:59,578.15,578.15,578.15,578.15,50,1000
NIFTY,17NOV22,17650,CE,2022-11-02,10:10:59,576.95,576.95,576.95,576.95,50,1000
