Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
17200CE2022-10-17 09:15:59,2022-10-17 09:15:59,1,360.0,2022-10-17 15:19:59,513.8,-153.79999999999995,-153.79999999999995
17200PE2022-10-17 09:15:59,2022-10-17 09:15:59,1,307.75,2022-10-17 15:19:59,223.1,84.65,-69.14999999999995
18600PE2022-10-17 11:30:59,2022-10-17 11:30:59,4,500.3,2022-10-17 15:19:59,500.3,0.0,-69.14999999999995
17450CE2022-10-18 09:15:59,2022-10-18 09:15:59,1,380.0,2022-10-18 15:19:59,476.1,-96.10000000000002,-165.24999999999997
17450PE2022-10-18 09:15:59,2022-10-18 09:15:59,1,390.8,2022-10-18 15:19:59,390.8,0.0,-165.24999999999997
17550CE2022-10-19 09:15:59,2022-10-19 09:15:59,1,312.0,2022-10-19 15:19:59,312.0,0.0,-165.24999999999997
17550PE2022-10-19 09:15:59,2022-10-19 09:15:59,1,441.25,2022-10-19 15:19:59,421.55,19.69999999999999,-145.54999999999998
17450CE2022-10-20 09:15:59,2022-10-20 09:15:59,1,476.1,2022-10-20 15:19:59,476.1,0.0,-145.54999999999998
17450PE2022-10-20 09:15:59,2022-10-20 09:15:59,1,318.75,2022-10-20 15:19:59,229.0,89.75,-55.79999999999998
17600CE2022-10-21 09:15:59,2022-10-21 09:15:59,1,328.35,2022-10-21 15:19:59,306.8,21.55000000000001,-34.24999999999997
17600PE2022-10-21 09:15:59,2022-10-21 09:15:59,1,314.65,2022-10-21 15:19:59,312.0,2.6499999999999773,-31.599999999999994
17750CE2022-10-25 09:15:59,2022-10-25 09:15:59,1,363.35,2022-10-25 15:19:59,300.9,62.450000000000045,30.85000000000005
17750PE2022-10-25 09:15:59,2022-10-25 09:15:59,1,305.15,2022-10-25 15:19:59,253.15,51.99999999999997,82.85000000000002
17750CE2022-10-27 09:15:59,2022-10-27 09:15:59,1,300.9,2022-10-27 15:19:59,276.25,24.649999999999977,107.5
17750PE2022-10-27 09:15:59,2022-10-27 09:15:59,1,253.15,2022-10-27 15:19:59,245.8,7.349999999999994,114.85
17800CE2022-10-28 09:15:59,2022-10-28 09:15:59,1,256.5,2022-10-28 15:19:59,250.95,5.550000000000011,120.4
17800PE2022-10-28 09:15:59,2022-10-28 09:15:59,1,260.15,2022-10-28 15:19:59,236.55,23.599999999999966,143.99999999999997
17950CE2022-10-31 09:15:59,2022-10-31 09:15:59,1,230.0,2022-10-31 15:19:59,275.75,-45.75,98.24999999999997
17950PE2022-10-31 09:15:59,2022-10-31 09:15:59,1,218.2,2022-10-31 15:19:59,196.5,21.69999999999999,119.94999999999996
18100CE2022-11-01 09:15:59,2022-11-01 09:15:59,1,232.5,2022-11-01 15:19:59,281.7,-49.19999999999999,70.74999999999997
18100PE2022-11-01 09:15:59,2022-11-01 09:15:59,1,208.75,2022-11-01 15:19:59,188.95,19.80000000000001,90.54999999999998
18150CE2022-11-02 09:15:59,2022-11-02 09:15:59,1,249.8,2022-11-02 15:19:59,219.0,30.80000000000001,121.35
18150PE2022-11-02 09:15:59,2022-11-02 09:15:59,1,219.65,2022-11-02 15:19:59,241.5,-21.849999999999994,99.5
18000CE2022-11-03 09:15:59,2022-11-03 09:15:59,1,239.55,2022-11-03 15:19:59,260.0,-20.44999999999999,79.05000000000001
18000PE2022-11-03 09:15:59,2022-11-03 09:15:59,1,203.3,2022-11-03 15:19:59,163.35,39.95000000000002,119.00000000000003
18050CE2022-11-04 09:15:59,2022-11-04 09:15:59,1,226.8,2022-11-04 15:19:59,254.5,-27.69999999999999,91.30000000000004
18050PE2022-11-04 09:15:59,2022-11-04 09:15:59,1,175.1,2022-11-04 15:19:59,137.15,37.94999999999999,129.25000000000003
18250CE2022-11-07 09:15:59,2022-11-07 09:15:59,1,179.95,2022-11-07 15:19:59,151.7,28.25,157.50000000000003
18250PE2022-11-07 09:15:59,2022-11-07 09:15:59,1,163.75,2022-11-07 15:19:59,167.6,-3.8499999999999943,153.65000000000003
18100CE2022-11-07 10:45:59,2022-11-07 10:45:59,4,204.5,2022-11-07 15:19:59,238.15,-134.60000000000002,19.05000000000001
18250CE2022-11-09 09:15:59,2022-11-09 09:15:59,1,165.0,2022-11-09 15:19:59,113.25,51.75,70.80000000000001
18250PE2022-11-09 09:15:59,2022-11-09 09:15:59,1,135.3,2022-11-09 15:19:59,187.0,-51.69999999999999,19.100000000000023
18100CE2022-11-09 14:45:59,2022-11-09 14:45:59,4,197.7,2022-11-09 15:19:59,192.45,21.0,40.10000000000002
18050CE2022-11-10 09:15:59,2022-11-10 09:15:59,1,176.6,2022-11-10 15:19:59,136.4,40.19999999999999,80.30000000000001
18050PE2022-11-10 09:15:59,2022-11-10 09:15:59,1,119.5,2022-11-10 15:19:59,124.0,-4.5,75.80000000000001
17950CE2022-11-10 13:00:59,2022-11-10 13:00:59,4,170.7,2022-11-10 15:19:59,194.7,-96.0,-20.19999999999999
18250CE2022-11-11 09:15:59,2022-11-11 09:15:59,1,129.3,2022-11-11 15:19:59,184.05,-54.75,-74.94999999999999
18250PE2022-11-11 09:15:59,2022-11-11 09:15:59,1,100.95,2022-11-11 15:19:59,59.45,41.5,-33.44999999999999
18450PE2022-11-11 09:30:59,2022-11-11 09:30:59,4,172.35,2022-11-11 15:19:59,144.7,110.60000000000002,77.15000000000003
18350CE2022-11-14 09:15:59,2022-11-14 09:15:59,1,112.0,2022-11-14 15:19:59,79.65,32.349999999999994,109.50000000000003
18350PE2022-11-14 09:15:59,2022-11-14 09:15:59,1,85.8,2022-11-14 15:19:59,97.35,-11.549999999999997,97.95000000000003
18350CE2022-11-15 09:15:59,2022-11-15 09:15:59,1,89.9,2022-11-15 15:19:59,119.45,-29.549999999999997,68.40000000000003
18350PE2022-11-15 09:15:59,2022-11-15 09:15:59,1,66.95,2022-11-15 15:19:59,38.6,28.35,96.75000000000003
18300CE2022-11-15 10:00:59,2022-11-15 10:00:59,4,87.0,2022-11-15 15:19:59,157.85,-283.4,-186.64999999999995
18400PE2022-11-15 15:00:59,2022-11-15 15:00:59,4,76.4,2022-11-15 15:19:59,55.5,83.60000000000002,-103.04999999999993
18400CE2022-11-16 09:15:59,2022-11-16 09:15:59,1,62.65,2022-11-16 15:19:59,53.95,8.699999999999996,-94.34999999999994
18400PE2022-11-16 09:15:59,2022-11-16 09:15:59,1,64.6,2022-11-16 15:19:59,51.25,13.349999999999994,-80.99999999999994
18500PE2022-11-16 11:00:59,2022-11-16 11:00:59,4,99.65,2022-11-16 15:19:59,112.45,-51.19999999999999,-132.19999999999993
18350CE2022-11-16 14:45:59,2022-11-16 14:45:59,4,66.05,2022-11-16 15:19:59,85.8,-79.0,-211.19999999999993
18400PE2022-11-16 15:00:59,2022-11-16 15:00:59,4,52.0,2022-11-16 15:19:59,51.25,3.0,-208.19999999999993
18350CE2022-11-17 09:15:59,2022-11-17 09:15:59,1,51.85,2022-11-17 15:19:59,0.6,51.25,-156.94999999999993
18350PE2022-11-17 09:15:59,2022-11-17 09:15:59,1,30.65,2022-11-17 15:19:59,7.75,22.9,-134.04999999999993
